Date,Close,Open,Highest,Lowest,KL,Change(%),Bank
2021-07-09,20289.0,20710.0,21342.0,19657.0,9920000.0,-3.34,LVB
2021-07-08,20991.0,21412.0,21412.0,20640.0,12060000.0,-0.17,LVB
2021-07-07,21026.0,20359.0,21026.0,19587.0,14400000.0,6.96,LVB
2021-07-06,19657.0,21623.0,22255.0,19657.0,19110000.0,-6.98,LVB
2021-07-05,21132.0,21167.0,21202.0,20570.0,11730000.0,1.01,LVB
2021-07-02,20921.0,21202.0,21342.0,20921.0,12010000.0,-0.33,LVB
2021-07-01,20991.0,21026.0,21202.0,20640.0,8420000.0,-0.17,LVB
2021-06-30,21026.0,21342.0,21412.0,20851.0,8010000.0,-1.8,LVB
2021-06-29,21412.0,21237.0,21763.0,21202.0,12600000.0,1.16,LVB
2021-06-28,21167.0,20921.0,21272.0,20710.0,14050000.0,2.21,LVB
2021-06-25,20710.0,20956.0,20956.0,20500.0,6150000.0,0.17,LVB
2021-06-24,20675.0,20710.0,21272.0,20500.0,11420000.0,2.26,LVB
2021-06-23,20219.0,20640.0,20710.0,20219.0,6190000.0,-2.04,LVB
2021-06-22,20640.0,20429.0,20781.0,20078.0,10870000.0,2.08,LVB
2021-06-21,20219.0,20359.0,20710.0,20008.0,11600000.0,-2.7,LVB
2021-06-18,20781.0,21061.0,21202.0,20078.0,9870000.0,0.34,LVB
2021-06-17,20710.0,19096.0,20710.0,19096.0,16200000.0,5.36,LVB
2021-06-16,19657.0,20429.0,20991.0,19482.0,20950000.0,-3.45,LVB
2021-06-15,20359.0,21412.0,21412.0,20359.0,24050000.0,-5.54,LVB
2021-06-14,21553.0,21939.0,22009.0,21412.0,13380000.0,-1.76,LVB
2021-06-11,21939.0,21834.0,22430.0,21342.0,24390000.0,0.16,LVB
2021-06-10,21904.0,21834.0,22465.0,21588.0,14590000.0,-0.16,LVB
2021-06-09,21939.0,20535.0,21939.0,19306.0,33020000.000000004,6.84,LVB
2021-06-08,20535.0,22185.0,22676.0,20535.0,30550000.0,-6.85,LVB
2021-06-07,22044.0,22465.0,22816.0,21834.0,38760000.0,-5.99,LVB
2021-06-04,23448.0,23659.0,23869.0,23167.0,19340000.0,-1.33,LVB
2021-06-03,23764.0,23764.0,23764.0,22816.0,29380000.0,6.95,LVB
2021-06-02,22220.0,20359.0,22220.0,20219.0,43740000.0,6.92,LVB
2021-06-01,20781.0,22395.0,22395.0,20359.0,31050000.0,-1.17,LVB
2021-05-31,21026.0,20359.0,21026.0,20008.0,34530000.0,6.96,LVB
2021-05-28,19657.0,18815.0,19657.0,18499.0,50810000.0,6.87,LVB
2021-05-27,18394.0,18183.0,18815.0,17832.0,44160000.0,3.15,LVB
2021-05-26,17832.0,16814.0,17832.0,16814.0,38580000.0,6.28,LVB
2021-05-25,16779.0,16498.0,16989.0,16358.0,25450000.0,2.14,LVB
2021-05-24,16428.0,16498.0,16674.0,16393.0,19760000.0,-0.42,LVB
2021-05-21,16498.0,16533.0,16779.0,16393.0,20730000.0,0.0,LVB
2021-05-20,16498.0,16568.0,16603.0,16358.0,19680000.0,-0.21,LVB
2021-05-19,16533.0,16147.0,16638.0,16147.0,20710000.0,2.39,LVB
2021-05-18,16147.0,15796.0,16393.0,15691.0,28640000.0,0.87,LVB
2021-05-17,16007.0,16428.0,16463.0,15866.0,30250000.0,-2.35,LVB
2021-05-14,16393.0,16323.0,16638.0,16077.0,24990000.0,1.97,LVB
2021-05-13,16077.0,15585.0,16393.0,15340.0,31530000.0,3.16,LVB
2021-05-12,15585.0,15059.0,15585.0,14954.0,22760000.0,2.54,LVB
2021-05-11,15199.0,15480.0,15585.0,15199.0,29700000.0,-0.69,LVB
2021-05-10,15305.0,15164.0,15515.0,15164.0,23300000.0,0.93,LVB
2021-05-07,15164.0,14603.0,15305.0,14392.0,27930000.0,3.84,LVB
2021-05-06,14603.0,14954.0,14989.0,14567.0,24510000.0,-2.35,LVB
2021-05-05,14954.0,15024.0,15375.0,14848.0,27350000.0,-0.93,LVB
2021-05-04,15094.0,14603.0,15094.0,14532.0,19610000.0,0.0,LVB
2021-04-29,15094.0,14567.0,15094.0,14532.0,33920000.0,5.13,LVB
2021-04-28,14357.0,14322.0,14567.0,14041.0,16750000.0,-0.49,LVB
2021-04-27,14427.0,14532.0,14708.0,14322.0,16129999.999999998,-0.72,LVB
2021-04-26,14532.0,14392.0,14883.0,14111.0,22510000.0,2.98,LVB
2021-04-23,14111.0,13339.0,14111.0,13198.0,30110000.0,6.92,LVB
2021-04-22,13198.0,13830.0,14146.0,13198.0,19460000.0,-5.3,LVB
2021-04-20,13936.0,13900.0,14146.0,13760.0,31720000.0,2.32,LVB
2021-04-19,13620.0,13479.0,13690.0,13304.0,19430000.0,2.38,LVB
2021-04-16,13304.0,13093.0,13690.0,13023.0,30880000.0,2.16,LVB
2021-04-15,13023.0,12988.0,13198.0,12918.0,19120000.0,0.54,LVB
2021-04-14,12953.0,12672.0,13058.0,12496.0,24110000.0,0.27,LVB
2021-04-13,12918.0,13374.0,13409.0,12847.0,17860000.0,-2.39,LVB
2021-04-12,13234.0,12812.0,13269.0,12777.0,19060000.0,3.86,LVB
2021-04-09,12742.0,12286.0,12918.0,12216.0,26320000.0,3.71,LVB
2021-04-08,12286.0,12286.0,12356.0,12145.0,14840000.0,0.29,LVB
2021-04-07,12251.0,12321.0,12321.0,12145.0,12740000.0,0.0,LVB
2021-04-06,12251.0,12391.0,12426.0,12251.0,14020000.0,-1.13,LVB
2021-04-05,12391.0,12391.0,12567.0,12180.0,15920000.0,0.28,LVB
2021-04-02,12356.0,12216.0,12496.0,12216.0,18990000.0,1.15,LVB
2021-04-01,12216.0,12180.0,12286.0,12110.0,8630000.0,0.3,LVB
